country,commun,surveypl,surveyyr,hhnum,weight,members,workers,nonwork,lifecycl,hsex,hage,heduc,hparent,hempl,hocc,hby,spsex,speduc,spparent,spempl,spocc,unitype1,unibeg1,sons,daus,proptyp1,propmat1,propflr1,proprms1,propdol1,propten1,water,electric,sewer,stove,refrig,washing,sewing,radio,tv,stereo,phone
1,87,1,1/1/2001,96,9.2,3,1,2,5,1,58,5,1,3,552,3,2,3,1,1,20,4,1/1/1961,0,1,1,3,3,5,2,3,1,1,1,1,1,2,1,1,1,1,1
1,87,1,1/1/2001,97,9.2,4,1,3,2,1,25,2,1,3,117,3,2,6,1,1,20,4,1/1/1995,2,0,1,3,3,4,8888,1,1,1,1,1,1,1,2,1,2,2,1
1,87,1,1/1/2001,98,9.2,4,1,3,2,1,24,12,1,3,711,3,2,8,1,1,20,4,1/1/1997,0,2,1,3,3,10,8888,1,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,99,9.2,6,4,3,4,1,35,6,1,2,10,3,2,0,1,1,20,4,1/1/1982,4,0,1,3,2,2,2,3,1,1,1,1,1,1,2,1,1,1,2
1,87,1,1/1/2001,100,9.2,2,1,1,5,1,66,3,1,3,215,3,2,3,1,1,20,4,1/1/1952,0,0,1,3,3,3,2,3,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,101,9.2,3,1,2,2,1,22,9,1,3,549,9999,2,12,1,1,20,4,1/1/1999,0,1,1,3,3,3,8888,1,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,102,9.2,3,0,3,5,1,89,0,1,1,52,5,2,6,1,1,20,4,1/1/1932,0,1,1,3,3,4,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,103,9.2,10,6,4,2,1,32,2,1,3,549,3,2,9,1,1,20,4,1/1/1990,2,0,1,3,3,4,8888,1,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,104,9.2,5,1,4,2,1,38,6,1,3,552,4,2,9,1,1,20,4,1/1/1998,0,2,1,3,2,5,8888,1,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,105,9.2,6,3,3,5,1,55,0,1,1,51,3,2,0,1,1,20,4,1/1/1965,3,1,1,3,3,4,8888,1,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,106,9.2,4,1,3,2,1,27,7,1,3,526,3,2,9,1,1,20,4,1/1/1991,1,1,1,3,3,7,2,3,1,1,1,1,1,2,2,1,1,1,2
1,87,1,1/1/2001,107,9.2,3,1,2,2,1,34,6,1,3,710,3,2,9,1,1,20,4,1/1/1999,0,1,1,3,3,2,2,2,1,1,1,1,1,1,2,1,1,2,2
1,87,1,1/1/2001,108,9.2,4,2,2,3,1,60,6,1,3,710,2,2,6,1,1,20,4,1/1/1961,1,1,1,3,3,7,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,109,9.2,3,1,2,2,1,30,17,1,3,629,4,2,12,1,1,20,4,1/1/1994,1,0,1,3,3,5,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,110,9.2,7,5,3,3,1,49,5,1,3,512,3,2,2,1,1,20,4,1/1/1978,3,2,1,3,3,3,8888,1,1,1,1,1,1,1,2,1,1,2,2
1,87,1,1/1/2001,111,9.2,7,1,6,2,1,36,6,1,3,522,3,2,6,1,1,20,2,1/1/1997,3,2,1,3,3,5,2,3,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,112,9.2,5,1,4,2,1,40,12,1,3,546,3,2,12,1,1,20,4,1/1/1988,3,0,1,3,3,3,2,3,1,1,1,1,1,2,2,1,1,1,2
1,87,1,1/1/2001,113,9.2,6,2,4,2,1,27,4,1,3,520,4,2,6,1,1,20,2,1/1/1997,2,1,1,3,2,2,2,4,1,1,2,1,2,2,2,1,2,2,2
1,87,1,1/1/2001,114,9.2,6,1,5,2,1,36,6,1,3,524,3,2,9,1,1,20,4,1/1/1988,4,0,1,3,3,2,2,3,1,1,1,1,1,1,2,1,1,2,2
1,87,1,1/1/2001,115,9.2,7,4,3,3,1,51,9,1,3,812,4,2,3,1,1,20,4,1/1/1975,3,2,1,3,3,6,8888,5,1,1,1,1,1,2,2,1,1,1,1
1,87,1,1/1/2001,116,9.2,10,6,5,3,1,57,2,1,3,528,3,2,6,1,3,820,4,1/1/1975,3,2,1,3,3,7,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,117,9.2,4,1,3,2,1,25,9,1,3,713,5,2,9,1,1,20,4,1/1/1996,1,1,1,3,3,6,2,2,1,1,1,1,1,1,2,1,1,1,2
1,87,1,1/1/2001,118,9.2,3,1,2,2,1,26,12,1,3,611,4,2,9,1,1,20,4,1/1/1997,1,0,1,3,3,2,2,4,1,1,1,1,1,1,1,1,1,1,2
1,87,1,1/1/2001,119,9.2,6,1,5,3,1,44,8,1,3,710,2,2,6,1,1,20,4,1/1/1980,2,2,1,3,3,5,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,120,9.2,2,1,1,5,2,66,3,1,1,20,3,2,12,1,3,811,1,1/1/1952,0,1,1,3,3,3,2,3,1,1,1,1,1,1,1,1,1,2,1
